1971  10
1974  6
1977  3
1982  1.5
1985  1
1989  0.8
1994  0.6
1995  0.35
1997  0.25
1999  0.18
2001  0.13
2004  0.09
2006  0.065
2008  0.045
2010  0.032
2012  0.022
2014  0.014
2017  0.01
